id,final selection,ontology order,acronym,name,voxel count
36,0,99,GU1,"Gustatory areas, layer 1",364
180,0,100,GU2/3,"Gustatory areas, layer 2/3",503
148,0,101,GU4,"Gustatory areas, layer 4",137
187,0,102,GU5,"Gustatory areas, layer 5",558
638,0,103,GU6a,"Gustatory areas, layer 6a",460
662,0,104,GU6b,"Gustatory areas, layer 6b",82
677,1,105,VISC,Visceral area,1793
897,0,106,VISC1,"Visceral area, layer 1",317
1106,0,107,VISC2/3,"Visceral area, layer 2/3",418
1010,0,108,VISC4,"Visceral area, layer 4",195
1058,0,109,VISC5,"Visceral area, layer 5",438
857,0,110,VISC6a,"Visceral area, layer 6a",375
849,0,111,VISC6b,"Visceral area, layer 6b",50
247,0,112,AUD,Auditory areas,7990
1011,1,113,AUDd,Dorsal auditory area,2556
527,0,114,AUDd1,"Dorsal auditory area, layer 1",316
600,0,115,AUDd2/3,"Dorsal auditory area, layer 2/3",708
678,0,116,AUDd4,"Dorsal auditory area, layer 4",284
252,0,117,AUDd5,"Dorsal auditory area, layer 5",705
156,0,118,AUDd6a,"Dorsal auditory area, layer 6a",436
243,0,119,AUDd6b,"Dorsal auditory area, layer 6b",107
1002,1,120,AUDp,Primary auditory area,2689
735,0,121,AUDp1,"Primary auditory area, layer 1",342
251,0,122,AUDp2/3,"Primary auditory area, layer 2/3",749
816,0,123,AUDp4,"Primary auditory area, layer 4",318
847,0,124,AUDp5,"Primary auditory area, layer 5",756
954,0,125,AUDp6a,"Primary auditory area, layer 6a",440
1005,0,126,AUDp6b,"Primary auditory area, layer 6b",84
1027,1,127,AUDpo,Posterior auditory area,191
696,0,128,AUDpo1,"Posterior auditory area, layer 1",26
643,0,129,AUDpo2/3,"Posterior auditory area, layer 2/3",59
759,0,130,AUDpo4,"Posterior auditory area, layer 4",22
791,0,131,AUDpo5,"Posterior auditory area, layer 5",60
249,0,132,AUDpo6a,"Posterior auditory area, layer 6a",22
456,0,133,AUDpo6b,"Posterior auditory area, layer 6b",2
1018,1,134,AUDv,Ventral auditory area,2554
959,0,135,AUDv1,"Ventral auditory area, layer 1",351
755,0,136,AUDv2/3,"Ventral auditory area, layer 2/3",599
990,0,137,AUDv4,"Ventral auditory area, layer 4",296
1023,0,138,AUDv5,"Ventral auditory area, layer 5",760
520,0,139,AUDv6a,"Ventral auditory area, layer 6a",457
598,0,140,AUDv6b,"Ventral auditory area, layer 6b",91
669,0,141,VIS,Visual areas,12827
801,0,142,VIS1,"Visual areas, layer 1",0
561,0,143,VIS2/3,"Visual areas, layer 2/3",0
913,0,144,VIS4,"Visual areas, layer 4",0
937,0,145,VIS5,"Visual areas, layer 5",0
457,0,146,VIS6a,"Visual areas, layer 6a",0
497,0,147,VIS6b,"Visual areas, layer 6b",0
402,1,148,VISal,Anterolateral visual area,1981
1074,0,149,VISal1,"Anterolateral visual area, layer 1",276
905,0,150,VISal2/3,"Anterolateral visual area, layer 2/3",548
1114,0,151,VISal4,"Anterolateral visual area, layer 4",228
233,0,152,VISal5,"Anterolateral visual area, layer 5",579
601,0,153,VISal6a,"Anterolateral visual area, layer 6a",298
649,0,154,VISal6b,"Anterolateral visual area, layer 6b",52
394,1,155,VISam,Anteromedial visual area,1795
281,0,156,VISam1,"Anteromedial visual area, layer 1",294
1066,0,157,VISam2/3,"Anteromedial visual area, layer 2/3",463
401,0,158,VISam4,"Anteromedial visual area, layer 4",181
433,0,159,VISam5,"Anteromedial visual area, layer 5",477
1046,0,160,VISam6a,"Anteromedial visual area, layer 6a",323
441,0,161,VISam6b,"Anteromedial visual area, layer 6b",57
409,1,162,VISl,Lateral visual area,880
421,0,163,VISl1,"Lateral visual area, layer 1",110
973,0,164,VISl23,"Lateral visual area, layer 2/3",251
573,0,165,VISl4,"Lateral visual area, layer 4",105
613,0,166,VISl5,"Lateral visual area, layer 5",241
74,0,167,VISl6a,"Lateral visual area, layer 6a",146
121,0,168,VISl6b,"Lateral visual area, layer 6b",27
385,1,169,VISp,Primary visual area,6227
593,0,170,VISp1,"Primary visual area, layer 1",889
821,0,171,VISp2/3,"Primary visual area, layer 2/3",1878
721,0,172,VISp4,"Primary visual area, layer 4",832
778,0,173,VISp5,"Primary visual area, layer 5",1595
33,0,174,VISp6a,"Primary visual area, layer 6a",921
305,0,175,VISp6b,"Primary visual area, layer 6b",112
425,1,176,VISpl,Posterolateral visual area,679
750,0,177,VISpl1,"Posterolateral visual area, layer 1",92
269,0,178,VISpl2/3,"Posterolateral visual area, layer 2/3",198
869,0,179,VISpl4,"Posterolateral visual area, layer 4",79
902,0,180,VISpl5,"Posterolateral visual area, layer 5",195
377,0,181,VISpl6a,"Posterolateral visual area, layer 6a",107
393,0,182,VISpl6b,"Posterolateral visual area, layer 6b",8
533,1,183,VISpm,posteromedial visual area,1265
805,0,184,VISpm1,"posteromedial visual area, layer 1",225
41,0,185,VISpm2/3,"posteromedial visual area, layer 2/3",419
501,0,186,VISpm4,"posteromedial visual area, layer 4",117
565,0,187,VISpm5,"posteromedial visual area, layer 5",286
257,0,188,VISpm6a,"posteromedial visual area, layer 6a",208
469,0,189,VISpm6b,"posteromedial visual area, layer 6b",10
31,0,190,ACA,Anterior cingulate area,5207
572,0,191,ACA1,"Anterior cingulate area, layer 1",0
1053,0,192,ACA2/3,"Anterior cingulate area, layer 2/3",0
739,0,193,ACA5,"Anterior cingulate area, layer 5",0
179,0,194,ACA6a,"Anterior cingulate area, layer 6a",0
227,0,195,ACA6b,"Anterior cingulate area, layer 6b",0
39,1,196,ACAd,"Anterior cingulate area, dorsal part",2789
935,0,197,ACAd1,"Anterior cingulate area, dorsal part, layer 1",747
211,0,198,ACAd2/3,"Anterior cingulate area, dorsal part, layer 2/3",910
1015,0,199,ACAd5,"Anterior cingulate area, dorsal part, layer 5",693
919,0,200,ACAd6a,"Anterior cingulate area, dorsal part, layer 6a",384
927,0,201,ACAd6b,"Anterior cingulate area, dorsal part, layer 6b",55
48,1,202,ACAv,"Anterior cingulate area, ventral part",2418
588,0,203,ACAv1,"Anterior cingulate area, ventral part, layer 1",790
296,0,204,ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3",775
772,0,205,ACAv5,"Anterior cingulate area, ventral part, layer 5",568
810,0,206,ACAv6a,"Anterior cingulate area, ventral part, 6a",253
819,0,207,ACAv6b,"Anterior cingulate area, ventral part, 6b",32
972,1,208,PL,Prelimbic area,1790
171,0,209,PL1,"Prelimbic area, layer 1",465
195,0,210,PL2,"Prelimbic area, layer 2",197
304,0,211,PL2/3,"Prelimbic area, layer 2/3",408
363,0,212,PL5,"Prelimbic area, layer 5",435
84,0,213,PL6a,"Prelimbic area, layer 6a",267
132,0,214,PL6b,"Prelimbic area, layer 6b",18
44,1,215,ILA,Infralimbic area,1764
707,0,216,ILA1,"Infralimbic area, layer 1",297
747,0,217,ILA2,"Infralimbic area, layer 2",79
556,0,218,ILA2/3,"Infralimbic area, layer 2/3",467
827,0,219,ILA5,"Infralimbic area, layer 5",476
1054,0,220,ILA6a,"Infralimbic area, layer 6a",378
1081,0,221,ILA6b,"Infralimbic area, layer 6b",67
714,0,222,ORB,Orbital area,4433
264,0,223,ORB1,"Orbital area, layer 1",0
492,0,224,ORB2/3,"Orbital area, layer 2/3",0
352,0,225,ORB5,"Orbital area, layer 5",0
476,0,226,ORB6a,"Orbital area, layer 6a",0
516,0,227,ORB6b,"Orbital area, layer 6b",0
723,1,228,ORBl,"Orbital area, lateral part",1853
448,0,229,ORBl1,"Orbital area, lateral part, layer 1",341
412,0,230,ORBl2/3,"Orbital area, lateral part, layer 2/3",759
630,0,231,ORBl5,"Orbital area, lateral part, layer 5",518
440,0,232,ORBl6a,"Orbital area, lateral part, layer 6a",234
488,0,233,ORBl6b,"Orbital area, lateral part, layer 6b",1
731,1,234,ORBm,"Orbital area, medial part",1024
484,0,235,ORBm1,"Orbital area, medial part, layer 1",253
524,0,236,ORBm2,"Orbital area, medial part, layer 2",108
582,0,237,ORBm2/3,"Orbital area, medial part, layer 2/3",285
620,0,238,ORBm5,"Orbital area, medial part, layer 5",257
910,0,239,ORBm6a,"Orbital area, medial part, layer 6a",121
738,0,240,ORBv,"Orbital area, ventral part",0
746,1,241,ORBvl,"Orbital area, ventrolateral part",1556
969,0,242,ORBvl1,"Orbital area, ventrolateral part, layer 1",342
288,0,243,ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3",669
1125,0,244,ORBvl5,"Orbital area, ventrolateral part, layer 5",283
608,0,245,ORBvl6a,"Orbital area, ventrolateral part, layer 6a",262
680,0,246,ORBvl6b,"Orbital area, ventrolateral part, layer 6b",0
95,0,247,AI,Agranular insular area,4832
104,1,248,AId,"Agranular insular area, dorsal part",2364
996,0,249,AId1,"Agranular insular area, dorsal part, layer 1",489
328,0,250,AId2/3,"Agranular insular area, dorsal part, layer 2/3",1035
1101,0,251,AId5,"Agranular insular area, dorsal part, layer 5",616
783,0,252,AId6a,"Agranular insular area, dorsal part, layer 6a",212
831,0,253,AId6b,"Agranular insular area, dorsal part, layer 6b",12
111,1,254,AIp,"Agranular insular area, posterior part",1348
120,0,255,AIp1,"Agranular insular area, posterior part, layer 1",375
163,0,256,AIp2/3,"Agranular insular area, posterior part, layer 2/3",382
344,0,257,AIp5,"Agranular insular area, posterior part, layer 5",347
314,0,258,AIp6a,"Agranular insular area, posterior part, layer 6a",244
355,0,259,AIp6b,"Agranular insular area, posterior part, layer 6b",0
119,1,260,AIv,"Agranular insular area, ventral part",1120
704,0,261,AIv1,"Agranular insular area, ventral part, layer 1",190
694,0,262,AIv2/3,"Agranular insular area, ventral part, layer 2/3",447
800,0,263,AIv5,"Agranular insular area, ventral part, layer 5",361
675,0,264,AIv6a,"Agranular insular area, ventral part, layer 6a",121
699,0,265,AIv6b,"Agranular insular area, ventral part, layer 6b",1
254,0,266,RSP,Retrosplenial area,7672
894,1,267,RSPagl,"Retrosplenial area, lateral agranular part",937
671,0,268,RSPagl1,"Retrosplenial area, lateral agranular part, layer 1",171
965,0,269,RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3",281
774,0,270,RSPagl5,"Retrosplenial area, lateral agranular part, layer 5",257
906,0,271,RSPagl6a,"Retrosplenial area, lateral agranular part, layer 6a",209
279,0,272,RSPagl6b,"Retrosplenial area, lateral agranular part, layer 6b",19
879,1,273,RSPd,"Retrosplenial area, dorsal part",2738
442,0,274,RSPd1,"Retrosplenial area, dorsal part, layer 1",524
434,0,275,RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3",754
545,0,276,RSPd4,"Retrosplenial area, dorsal part, layer 4",0
610,0,277,RSPd5,"Retrosplenial area, dorsal part, layer 5",891
274,0,278,RSPd6a,"Retrosplenial area, dorsal part, layer 6a",520
330,0,279,RSPd6b,"Retrosplenial area, dorsal part, layer 6b",49
886,1,280,RSPv,"Retrosplenial area, ventral part",3997
542,0,281,RSPv1,"Retrosplenial area, ventral part, layer 1",828
606,0,282,RSPv2,"Retrosplenial area, ventral part, layer 2",355
430,0,283,RSPv2/3,"Retrosplenial area, ventral part, layer 2/3",780
687,0,284,RSPv5,"Retrosplenial area, ventral part, layer 5",1365
590,0,285,RSPv6a,"Retrosplenial area, ventral part, layer 6a",637
622,0,286,RSPv6b,"Retrosplenial area, ventral part, layer 6b",32
22,1,287,PTLp,Posterior parietal association areas,3498
532,0,288,PTLp1,"Posterior parietal association areas, layer 1",541
241,0,289,PTLp2/3,"Posterior parietal association areas, layer 2/3",901
635,0,290,PTLp4,"Posterior parietal association areas, layer 4",342
683,0,291,PTLp5,"Posterior parietal association areas, layer 5",999
308,0,292,PTLp6a,"Posterior parietal association areas, layer 6a",609
340,0,293,PTLp6b,"Posterior parietal association areas, layer 6b",106
541,1,294,TEa,Temporal association areas,3773
97,0,295,TEa1,"Temporal association areas, layer 1",636
1127,0,296,TEa2/3,"Temporal association areas, layer 2/3",952
234,0,297,TEa4,"Temporal association areas, layer 4",342
289,0,298,TEa5,"Temporal association areas, layer 5",1183
729,0,299,TEa6a,"Temporal association areas, layer 6a",548
786,0,300,TEa6b,"Temporal association areas, layer 6b",112
922,1,301,PERI,Perirhinal area,1412
335,0,302,PERI6a,"Perirhinal area, layer 6a",175
368,0,303,PERI6b,"Perirhinal area, layer 6b",47
540,0,304,PERI1,"Perirhinal area, layer 1",333
692,0,305,PERI5,"Perirhinal area, layer 5",409
888,0,306,PERI2/3,"Perirhinal area, layer 2/3",448
895,1,307,ECT,Ectorhinal area,3390
836,0,308,ECT1,Ectorhinal area/Layer 1,696
427,0,309,ECT2/3,Ectorhinal area/Layer 2/3,1153
988,0,310,ECT5,Ectorhinal area/Layer 5,1023
977,0,311,ECT6a,Ectorhinal area/Layer 6a,440
1045,0,312,ECT6b,Ectorhinal area/Layer 6b,78
698,0,313,OLF,Olfactory areas,41731
507,1,314,MOB,Main olfactory bulb,16978
212,0,315,MOBgl,"Main olfactory bulb, glomerular layer",4561
220,0,316,MOBgr,"Main olfactory bulb, granule layer",5103
228,0,317,MOBipl,"Main olfactory bulb, inner plexiform layer",1063
236,0,318,MOBmi,"Main olfactory bulb, mitral layer",958
244,0,319,MOBopl,"Main olfactory bulb, outer plexiform layer",5220
151,1,320,AOB,Accessory olfactory bulb,571
188,0,321,AOBgl,"Accessory olfactory bulb, glomerular layer",137
196,0,322,AOBgr,"Accessory olfactory bulb, granular layer",144
204,0,323,AOBmi,"Accessory olfactory bulb, mitral layer",125
159,1,324,AON,Anterior olfactory nucleus,3951
167,0,325,AONd,"Anterior olfactory nucleus, dorsal part",300
175,0,326,AONe,"Anterior olfactory nucleus, external part",277
183,0,327,AONl,"Anterior olfactory nucleus, lateral part",668
191,0,328,AONm,"Anterior olfactory nucleus, medial part",704
199,0,329,AONpv,"Anterior olfactory nucleus, posteroventral part",674
160,0,330,AON1,"Anterior olfactory nucleus, layer 1",1283
168,0,331,AON2,"Anterior olfactory nucleus, layer 2",0
589,1,332,TT,Taenia tecta,1734
597,0,333,TTd,"Taenia tecta, dorsal part",1262
297,0,334,TTd1-4,"Taenia tecta, dorsal part, layers 1-4",0
1034,0,335,TTd1,"Taenia tecta, dorsal part, layer 1",421
1042,0,336,TTd2,"Taenia tecta, dorsal part, layer 2",416
1050,0,337,TTd3,"Taenia tecta, dorsal part, layer 3",332
1059,0,338,TTd4,"Taenia tecta, dorsal part, layer 4",93
605,0,339,TTv,"Taenia tecta, ventral part",472
306,0,340,TTv1-3,"Taenia tecta, ventral part, layers 1-3",0
1067,0,341,TTv1,"Taenia tecta, ventral part, layer 1",229
1075,0,342,TTv2,"Taenia tecta, ventral part, layer 2",167
1082,0,343,TTv3,"Taenia tecta, ventral part, layer 3",76
814,1,344,DP,Dorsal peduncular area,335
496,0,345,DP1,"Dorsal peduncular area, layer 1",106
535,0,346,DP2,"Dorsal peduncular area, layer 2",0
360,0,347,DP2/3,"Dorsal peduncular area, layer 2/3",109
646,0,348,DP5,"Dorsal peduncular area, layer 5",89
267,0,349,DP6a,"Dorsal peduncular area, layer 6a",31
961,1,350,PIR,Piriform area,12933
152,0,351,PIR1-3,"Piriform area, layers 1-3",0
276,0,352,PIR1,"Piriform area, molecular layer",4741
284,0,353,PIR2,"Piriform area, pyramidal layer",3729
291,0,354,PIR3,"Piriform area, polymorph layer",4463
619,1,355,NLOT,Nucleus of the lateral olfactory tract,389
392,0,356,NLOT1-3,"Nucleus of the lateral olfactory tract, layers 1-3",0
260,0,357,NLOT1,"Nucleus of the lateral olfactory tract, molecular layer",162
268,0,358,NLOT2,"Nucleus of the lateral olfactory tract, pyramidal layer",143
1139,0,359,NLOT3,"Nucleus of the lateral olfactory tract, layer 3",84
631,0,360,COA,Cortical amygdalar area,2436
639,1,361,COAa,"Cortical amygdalar area, anterior part",521
192,0,362,COAa1,"Cortical amygdalar area, anterior part, layer 1",240
200,0,363,COAa2,"Cortical amygdalar area, anterior part, layer 2",281
208,0,364,COAa3,"Cortical amygdalar area, anterior part, layer 3",0
647,1,365,COAp,"Cortical amygdalar area, posterior part",1915
655,0,366,COApl,"Cortical amygdalar area, posterior part, lateral zone",961
584,0,367,COApl1-2,"Cortical amygdalar area, posterior part, lateral zone, layers 1-2",0
376,0,368,COApl1-3,"Cortical amygdalar area, posterior part, lateral zone, layers 1-3",0
216,0,369,COApl1,"Cortical amygdalar area, posterior part, lateral zone, layer 1",269
224,0,370,COApl2,"Cortical amygdalar area, posterior part, lateral zone, layer 2",301
232,0,371,COApl3,"Cortical amygdalar area, posterior part, lateral zone, layer 3",391
663,0,372,COApm,"Cortical amygdalar area, posterior part, medial zone",954
592,0,373,COApm1-2,"Cortical amygdalar area, posterior part, medial zone, layers 1-2",0
383,0,374,COApm1-3,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",0
240,0,375,COApm1,"Cortical amygdalar area, posterior part, medial zone, layer 1",223
248,0,376,COApm2,"Cortical amygdalar area, posterior part, medial zone, layer 2",233
256,0,377,COApm3,"Cortical amygdalar area, posterior part, medial zone, layer 3",498
788,1,378,PAA,Piriform-amygdalar area,647
400,0,379,PAA1-3,"Piriform-amygdalar area, layers 1-3",0
408,0,380,PAA1,"Piriform-amygdalar area, molecular layer",256
416,0,381,PAA2,"Piriform-amygdalar area, pyramidal layer",169
424,0,382,PAA3,"Piriform-amygdalar area, polymorph layer",222
566,1,383,TR,Postpiriform transition area,1069
517,0,384,TR1-3,"Postpiriform transition area, layers 1-3",0
1140,0,385,TR1,"Postpiriform transition area, layers 1",377
1141,0,386,TR2,"Postpiriform transition area, layers 2",272
1142,0,387,TR3,"Postpiriform transition area, layers 3",420
1089,0,388,HPF,Hippocampal formation,40281
1080,0,389,HIP,Hippocampal region,20170
375,0,390,CA,Ammon's horn,13905
382,1,391,CA1,Field CA1,8275
391,0,392,CA1slm,"Field CA1, stratum lacunosum-moleculare",2250
399,0,393,CA1so,"Field CA1, stratum oriens",1372
407,0,394,CA1sp,"Field CA1, pyramidal layer",1891
415,0,395,CA1sr,"Field CA1, stratum radiatum",2762
423,1,396,CA2,Field CA2,595
431,0,397,CA2slm,"Field CA2, stratum lacunosum-moleculare",147
438,0,398,CA2so,"Field CA2, stratum oriens",135
446,0,399,CA2sp,"Field CA2, pyramidal layer",112
454,0,400,CA2sr,"Field CA2, stratum radiatum",201
463,1,401,CA3,Field CA3,5035
471,0,402,CA3slm,"Field CA3, stratum lacunosum-moleculare",64
479,0,403,CA3slu,"Field CA3, stratum lucidum",336
486,0,404,CA3so,"Field CA3, stratum oriens",1520
495,0,405,CA3sp,"Field CA3, pyramidal layer",1576
504,0,406,CA3sr,"Field CA3, stratum radiatum",1539
726,1,407,DG,Dentate gyrus,6177
10703,0,408,DG-mo,"Dentate gyrus, molecular layer",3982
10704,0,409,DG-po,"Dentate gyrus, polymorph layer",749
632,0,410,DG-sg,"Dentate gyrus, granule cell layer",1446
10702,0,411,DG-sgz,"Dentate gyrus, subgranular zone",0
734,0,412,DGcr,Dentate gyrus crest,0
742,0,413,DGcr-mo,"Dentate gyrus crest, molecular layer",0
751,0,414,DGcr-po,"Dentate gyrus crest, polymorph layer",0
758,0,415,DGcr-sg,"Dentate gyrus crest, granule cell layer",0
766,0,416,DGlb,Dentate gyrus lateral blade,0
775,0,417,DGlb-mo,"Dentate gyrus lateral blade, molecular layer",0
782,0,418,DGlb-po,"Dentate gyrus lateral blade, polymorph layer",0
790,0,419,DGlb-sg,"Dentate gyrus lateral blade, granule cell layer",0
799,0,420,DGmb,Dentate gyrus medial blade,0
807,0,421,DGmb-mo,"Dentate gyrus medial blade, molecular layer",0
815,0,422,DGmb-po,"Dentate gyrus medial blade, polymorph layer",0
823,0,423,DGmb-sg,"Dentate gyrus medial blade, granule cell layer",0
982,1,424,FC,Fasciola cinerea,68
19,1,425,IG,Induseum griseum,20
822,0,426,RHP,Retrohippocampal region,20111
909,0,427,ENT,Entorhinal area,11746
918,1,428,ENTl,"Entorhinal area, lateral part",8409
1121,0,429,ENTl1,"Entorhinal area, lateral part, layer 1",1729
20,0,430,ENTl2,"Entorhinal area, lateral part, layer 2",63
999,0,431,ENTl2/3,"Entorhinal area, lateral part, layer 2/3",174
715,0,432,ENTl2a,"Entorhinal area, lateral part, layer 2a",928
764,0,433,ENTl2b,"Entorhinal area, lateral part, layer 2b",968
52,0,434,ENTl3,"Entorhinal area, lateral part, layer 3",1297
92,0,435,ENTl4,"Entorhinal area, lateral part, layer 4",539
312,0,436,ENTl4/5,"Entorhinal area, lateral part, layer 4/5",201
139,0,437,ENTl5,"Entorhinal area, lateral part, layer 5",1282
387,0,438,ENTl5/6,"Entorhinal area, lateral part, layer 5/6",0
28,0,439,ENTl6a,"Entorhinal area, lateral part, layer 6a",1098
60,0,440,ENTl6b,"Entorhinal area, lateral part, layer 6b",130
926,1,441,ENTm,"Entorhinal area, medial part, dorsal zone",3106
526,0,442,ENTm1,"Entorhinal area, medial part, dorsal zone, layer 1",856
543,0,443,ENTm2,"Entorhinal area, medial part, dorsal zone, layer 2",870
468,0,444,ENTm2a,"Entorhinal area, medial part, dorsal zone, layer 2a",20
508,0,445,ENTm2b,"Entorhinal area, medial part, dorsal zone, layer 2b",15
664,0,446,ENTm3,"Entorhinal area, medial part, dorsal zone, layer 3",678
712,0,447,ENTm4,"Entorhinal area, medial part, dorsal zone, layer 4",105
727,0,448,ENTm5,"Entorhinal area, medial part, dorsal zone, layer 5",211
550,0,449,ENTm5/6,"Entorhinal area, medial part, dorsal zone, layer 5/6",0
743,0,450,ENTm6,"Entorhinal area, medial part, dorsal zone, layer 6",351
934,1,451,ENTmv,"Entorhinal area, medial part, ventral zone",231
